Name_1,RAobs,Decobs,delta,z,S(6)_t,pmt,S(6)_p,pmp,f_c,logL,i_1,I_1a,R,LD_cm,Lobs,L_1.4GHz,SFR (Msun/yr),NAME_2,RA2000,DEC2000,SDSS_NAME,RA_1,DEC_1,REDSHIFT,PLATE,FIBER,MJD,MI_Z2,FINT_REST6CM_MJY_OBS,Separation_1,RA_2,DEC_2,Peak_flux,E_Peak_flux,Total_flux,E_Total_flux,Maj,E_Maj,Min,E_Min,Separation
142943.07+474726.2,142943.066,474726.17,0.05,0.221,127.0,6.3,127,6.3,1.000,22.23,16.49,-23.23,0.14,3.38271717132406E27,22.2615449609453,22.7646621760005,34.3173850504021,142943.07+474726.2,217.42944166666666,47.79060277777778,b'142943.07+474726.2',217.42945861816406,47.790618896484375,0.22059999406337738,1673,108,53462,-23.901591217235268,0.0,0.0710501582792234,217.42964104738675,47.79099738469839,0.40878237574911785,0.06814587515386965,1.0442830422279181,0.23399735630572802,11.90916827412598,2.2452471857121634,7.722487471236574,1.1383329399552928,1.500201335878705
092909.79+464424.0,92909.808,464423.88,0.22,0.24,127.0,8.0,127,8.0,1.000,22.31,16.085,-23.82,0.1,3.71287367791102E27,22.3424339321675,22.8502453620748,41.7924059426487,092909.79+464424.0,142.29086666666666,46.73996666666667,b'092909.79+464424.0',142.29080200195312,46.74001693725586,0.24009999632835388,833,615,52314,-24.598639457358143,0.0,0.24125334343397833,142.2911363608276,46.739705728545665,0.8693344213832114,0.06851500771560556,1.9365635572880529,0.21049636424081702,9.686906094983815,0.8015962533312512,8.279260138487762,0.6214677697521085,1.151149585086786
083443.80+382632.8,83443.82,382633.09,0.37,0.288,128.0,8.0,128,8.0,1.000,22.49,17.527,-22.77,0.36,4.57163930719088E27,22.5265637499616,23.045921104372,65.5802572623196,083443.80+382632.8,128.68258333333335,38.442525,b'083443.80+382632.8',128.68252563476562,38.44245147705078,0.2881999909877777,828,256,52317,-23.800289890913376,0.0,0.31068410364342,128.6823958524637,38.44230642279192,0.4366032268285637,0.11825109460953664,0.5864300697497775,0.25080059373707486,7.27357389609982,2.0464501674862072,6.649735445339779,1.733754058989823,0.9479583934337181
111842.83+310317.4,111842.85,310317.4,0.26,0.27,134.0,9.7,134,9.7,1.000,22.44,17.444,-22.71,0.35,4.24553966358728E27,22.4821804675758,22.9972593225388,58.6288444060403,111842.83+310317.4,169.67854166666666,31.054833333333335,b'111842.83+310317.4',169.678466796875,31.054838180541992,0.2700999975204468,2092,624,53460,-23.707883340714787,0.0,0.23155884773957738,169.67833627713156,31.054933897607672,1.6257521747825896,0.07513770214442843,2.013583851095862,0.1506671237510152,7.018122730696907,0.33905644496913967,6.354750691593261,0.2809665396703001,0.7295860143471992
121045.63+272536.4,121045.64,272536.48,0.16,0.23,141.0,10.9,141,10.9,1.000,22.31,16.979,-22.83,0.24,3.53839982249408E27,22.3460427858273,22.8513926141287,41.9029526110566,121045.63+272536.4,182.69016666666664,27.426800000000004,b'121045.63+272536.4',182.69015502929688,27.42679786682129,0.23010000586509705,2229,233,53823,-23.56331820588091,0.0,0.0379702747897458,,,,,,,,,,,
132257.89+362300.0,132257.95,362300.47,0.87,0.295,153.0,14.7,153,14.7,1.000,22.59,17.65,-22.7,0.48,4.69974292190665E27,22.6280494997959,23.1490545879818,83.158490929561,132257.89+362300.0,200.74145833333333,36.38346388888889,b'132257.89+362300.0',200.74124145507812,36.38334655761719,0.29499998688697815,2023,612,53851,-23.75081230659945,0.0,0.757303594231234,200.74120023393402,36.383391833720935,3.2421489899188902,0.07136005142255199,4.070757236496419,0.1443915418925142,7.004324993459016,0.15988698349702934,6.4541908451571475,0.13697438285713534,0.7917327512352073
095048.38+392650.4,95048.392,392650.24,0.21,0.206,155.0,11.0,155,11.0,1.000,22.25,15.952,-23.62,0.1,3.12611443822801E27,22.2795513067316,22.7789106724883,35.4619557974391,095048.38+392650.4,147.70163333333338,39.44728888888889,b'095048.38+392650.4',147.7016143798828,39.447357177734375,0.20569999516010284,1277,332,52765,-24.290310015667146,0.0,0.25142281651319315,,,,,,,,,,,
094254.05+345133.1,94254.026,345133.13,0.3,0.278,155.0,11.9,155,11.9,1.000,22.54,17.594,-22.63,0.47,4.38988033100131E27,22.5744469250939,23.0914347730633,72.8260549867903,094254.05+345133.1,145.72510833333334,34.859202777777774,b'094254.05+345133.1',145.7252197265625,34.859214782714844,0.2775000035762787,1594,157,52992,-23.614586383639665,0.0,0.3318829202138475,145.7252440325969,34.859238012275334,0.35726959529239477,0.06098221962812616,0.35508733784056556,0.10598611218879814,6.650177083641509,1.2621430579582111,5.380855176393241,0.8260194431519524,0.42044736297590657
145608.65+275008.7,145608.642,275008.62,0.13,0.248,159.0,12.9,159,12.9,1.000,22.44,17.044,-22.93,0.29,3.85357204505762E27,22.4723339539789,22.9821004140152,56.617726433459,145608.65+275008.7,224.0360083333333,27.83572777777778,b'145608.65+275008.7',224.0360565185547,27.835765838623047,0.24819999933242798,2146,204,54230,-23.77759311404532,0.0,0.20567989856482183,,,,,,,,,,,
144202.82+433708.7,144202.837,433708.81,0.22,0.231,167.0,18.7,167,18.7,1.000,22.39,16.849,-22.97,0.25,3.55577676781326E27,22.4237953113352,22.9293921986809,50.1469138003416,144202.82+433708.7,220.51182083333336,43.61911388888889,b'144202.82+433708.7',220.5117950439453,43.619102478027344,0.2313999980688095,1289,184,52734,-23.693755150632768,0.0,0.07877152836083526,220.51174928712817,43.61907067969458,0.42927781419715977,0.060740742019258595,0.4590624113160853,0.11176342140303805,7.282316670751981,1.2029810758326747,5.287816276424451,0.6408707114904915,0.24282762019551793
145824.46+363119.5,145824.457,363119.49,0.04,0.246,167.0,9.4,167,9.4,1.000,22.45,16.887,-23.07,0.26,3.81830478628886E27,22.4856675189164,22.9949463988364,58.317434530473,145824.46+363119.5,224.60190416666669,36.522080555555554,b'145824.46+363119.5',224.60194396972656,36.522098541259766,0.24650000035762787,1351,88,52790,-23.898128951067566,0.0,0.13210788557346032,224.60178909732636,36.522087165043075,1.5397216252590822,0.0701479160216732,1.8616200785261459,0.13821586919774456,6.759212468870453,0.31483820580176913,6.441704353003322,0.28704803485275293,0.33375166378219495
104528.30+293344.7,104528.305,293344.5,0.21,0.293,179.0,11.4,179,11.4,1.000,22.65,17.581,-22.75,0.53,4.6630690362574E27,22.6894065853764,23.2099418030865,95.6739742525094,104528.30+293344.7,161.3679375,29.562361111111116,b'104528.30+293344.7',161.36793518066406,29.562423706054688,0.29339998960494995,1969,22,53383,-23.807994660077107,0.0,0.22545880216137626,161.36791990434168,29.56251872518724,2.225381367865778,0.1406735090205398,2.812804752676077,0.28573252063874693,6.785221121307409,0.43110339171916773,6.707268978988175,0.4218363787878207,0.5700795334758563
