,SDSS_NAME,RA,DEC,REDSHIFT,PLATE,FIBER,MJD
2685,b'010715.34-085212.2',16.813955307006836,-8.870061874389648,0.4853000044822693,659,411,52199
2686,b'010715.97-083429.3',16.816547393798828,-8.57482624053955,0.35580000281333923,659,410,52199
2734,b'010842.45-091241.7',17.17691421508789,-9.211590766906738,0.38830000162124634,659,495,52199
2744,b'010900.36+151217.5',17.251541137695312,15.204887390136719,0.37880000472068787,422,487,51811
2767,b'010928.35+010432.0',17.368127822875977,1.075564980506897,0.44749999046325684,1082,606,52523
2774,b'010933.91+152559.0',17.391332626342773,15.433056831359863,0.22679999470710754,422,420,51811
2776,b'010936.29+005829.4',17.401220321655273,0.9748610258102417,0.5867999792098999,1081,335,52531
2783,b'010955.62+005500.6',17.48178482055664,0.9168369770050049,0.5001000165939331,397,374,51794
2788,b'011012.45-092638.9',17.5518798828125,-9.444146156311035,0.3903999924659729,659,550,52199
2790,b'011018.18-101138.2',17.57578468322754,-10.193944931030273,0.35089999437332153,659,160,52199
2791,b'011018.43+142749.7',17.57679557800293,14.463831901550293,0.35989999771118164,423,311,51821
2794,b'011024.34-092059.1',17.601438522338867,-9.34975814819336,0.5939000248908997,659,546,52199
2800,b'011033.46+000830.9',17.639453887939453,0.1419229954481125,0.4684999883174896,397,479,51794
2801,b'011034.79+000230.4',17.644962310791016,0.0417959988117218,0.5769000053405762,694,112,52209
2817,b'011052.85+004648.6',17.720243453979492,0.7801920175552368,0.4302000105381012,694,578,52209
2822,b'011110.04-101631.8',17.791839599609375,-10.275508880615234,0.17919999361038208,659,111,52199
2829,b'011124.28+245645.3',17.8511905670166,24.9459228515625,0.43380001187324524,2060,293,53706
2833,b'011132.32+133519.1',17.884687423706055,13.588639259338379,0.576200008392334,423,295,51821
2844,b'011159.58-001614.2',17.998275756835938,-0.2706260085105896,0.45820000767707825,695,268,52202
2862,b'011234.06-101221.8',18.141950607299805,-10.20606803894043,0.38370001316070557,660,315,52177
2865,b'011238.88-083502.0',18.16200828552246,-8.583894729614258,0.3571999967098236,659,605,52199
2877,b'011254.91+000313.0',18.228830337524414,0.053624000400304794,0.2386000007390976,397,512,51794
2880,b'011258.63+010314.6',18.244298934936523,1.0540579557418823,0.3846000134944916,1081,448,52531
2889,b'011305.66+153146.4',18.273590087890625,15.529569625854492,0.576200008392334,423,380,51821
2893,b'011310.39-003133.1',18.293298721313477,-0.5258830189704895,0.412200003862381,397,62,51794
2919,b'011402.35-004750.9',18.50981330871582,-0.7974950075149536,0.3497999906539917,397,58,51794
2923,b'011406.23-010405.9',18.5259952545166,-1.0683289766311646,0.43650001287460327,695,246,52202
2936,b'011420.95-004049.3',18.58731460571289,-0.6803650259971619,0.43880000710487366,397,60,51794
2938,b'011427.77+243311.9',18.61574363708496,24.553312301635742,0.516700029373169,2060,257,53706
2940,b'011430.24+000420.9',18.62601089477539,0.07248300313949585,0.4553999900817871,695,226,52202
2983,b'011536.92-000011.0',18.903852462768555,-0.0030590000096708536,0.5315999984741211,695,192,52202
2984,b'011537.61-083810.9',18.906736373901367,-8.636384010314941,0.486299991607666,660,374,52177
3031,b'011623.04+142940.5',19.096036911010742,14.494608879089355,0.39430001378059387,423,156,51821
3034,b'011627.80-001304.2',19.11586570739746,-0.21785399317741394,0.46869999170303345,398,233,51789
3037,b'011629.80+005359.0',19.124168395996094,0.8997470140457153,0.3522999882698059,397,613,51794
3050,b'011640.15+005655.2',19.167314529418945,0.9486789703369141,0.47760000824928284,695,535,52202
3066,b'011712.81-005817.4',19.30341148376465,-0.971517026424408,0.48579999804496765,398,255,51789
3074,b'011727.84+005025.0',19.36602210998535,0.8402959704399109,0.49000000953674316,695,531,52202
3085,b'011735.34-100245.9',19.39727020263672,-10.046110153198242,0.4740000069141388,660,178,52177
